bibtex_nick,Species,time_point_h,variable,value,variation_value,variation_type,series_name,source_figure,Family,breeding_system,total_longevity,ovule_number,pollen_number,image_path,methods_notes,life_form
Griffin2000,Aquilegia canadensis,5.0,log10_pollen_grains_per_stigma,0.5,,None,CCR4 (Field),Figure 2a,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,6.0,log10_pollen_grains_per_stigma,1.75,,None,CCR4 (Field),Figure 2a,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,7.0,log10_pollen_grains_per_stigma,2.05,,None,CCR4 (Field),Figure 2a,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,8.0,log10_pollen_grains_per_stigma,2.3,,None,CCR4 (Field),Figure 2a,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,9.0,log10_pollen_grains_per_stigma,2.4,,None,CCR4 (Field),Figure 2a,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,3.0,log10_pollen_grains_per_stigma,0.65,,None,CCP3 (Field),Figure 2b,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,4.0,log10_pollen_grains_per_stigma,0.55,,None,CCP3 (Field),Figure 2b,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,5.0,log10_pollen_grains_per_stigma,0.5,,None,CCP3 (Field),Figure 2b,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,6.0,log10_pollen_grains_per_stigma,1.95,,None,CCP3 (Field),Figure 2b,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,7.0,log10_pollen_grains_per_stigma,2.2,,None,CCP3 (Field),Figure 2b,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,8.0,log10_pollen_grains_per_stigma,2.35,,None,CCP3 (Field),Figure 2b,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,9.0,log10_pollen_grains_per_stigma,2.3,,None,CCP3 (Field),Figure 2b,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,3.0,log10_pollen_grains_per_stigma,0.35,,None,AHB4 (Field),Figure 2c,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,4.0,log10_pollen_grains_per_stigma,0.7,,None,AHB4 (Field),Figure 2c,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,5.0,log10_pollen_grains_per_stigma,0.85,,None,AHB4 (Field),Figure 2c,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,6.0,log10_pollen_grains_per_stigma,1.55,,None,AHB4 (Field),Figure 2c,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,7.0,log10_pollen_grains_per_stigma,2.2,,None,AHB4 (Field),Figure 2c,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,8.0,log10_pollen_grains_per_stigma,2.3,,None,AHB4 (Field),Figure 2c,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,9.0,log10_pollen_grains_per_stigma,2.25,,None,AHB4 (Field),Figure 2c,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,3.0,log10_pollen_grains_per_stigma,0.95,,None,AKA1 (Field),Figure 2d,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,4.0,log10_pollen_grains_per_stigma,0.6,,None,AKA1 (Field),Figure 2d,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,5.0,log10_pollen_grains_per_stigma,0.85,,None,AKA1 (Field),Figure 2d,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,6.0,log10_pollen_grains_per_stigma,1.95,,None,AKA1 (Field),Figure 2d,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,7.0,log10_pollen_grains_per_stigma,2.05,,None,AKA1 (Field),Figure 2d,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,8.0,log10_pollen_grains_per_stigma,2.3,,None,AKA1 (Field),Figure 2d,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
Griffin2000,Aquilegia canadensis,9.0,log10_pollen_grains_per_stigma,2.25,,None,AKA1 (Field),Figure 2d,Ranunculaceae,"Protogynous (putative, experimentally tested), self-compatible, highly selfing",5.2 days (stigma presentation) + 3.2 days (anther dehiscence) + fruit dev,125,,Data_images/griffin2000/griffin2000experimental.jpg,Greenhouse hand-pollination (Fig 1) and field survey of natural pollination (Fig 2). Stages 3-5 = stigma presentation; 6-9 = anther dehiscence.,Short-lived perennial herb
